Name des Unternehmens,Ort,Länderkürzel,NACE code,"Kons.
Code","Anzahl der Mitarbeiter 
Letztes verf. Jahr",Globale KM - Name,Adresse,Postleitzahl,Region,Land,Latitude,Longitude,Country
VYNOVA RUNCORN LIMITED,RUNCORN,GB,2014,U1,131,INTERNATIONAL CHEMICAL INVESTORS S.E.,BANKES LANE OFFICE BANKES LANE,WA7 4EL,Runcorn,Vereinigtes Königreich,53.31938775,-2.7409214911639466,United Kingdom
WESTLAKE COMPOUNDS ITALY S.R.L.,SAMARATE,IT,2016,U1,68,"CHAO ALBERT, JENKINS DOROTHY C & CHAO JAMES",VIA MILANO 201,21017,Varese,Italien,45.626077,8.787156,Italy
MACDERMID PERFORMANCE SOLUTIONS ITALIANA S.R.L.,BIELLA,IT,2059,C2,162,ELEMENT SOLUTIONS INC.,VIA GIOVANNI BATTISTA BOTALLA 3,13900,Biella,Italien,45.5574518,8.0609423,Italy
ГАЗТРОН-УКРАЇНА ТОВ,КИЇВ,UA,4671,U1,33,MR VLADISLAV BORISOVICH KOLODYAZHNIY,"ВУЛ. ЄВГЕНА КОНОВАЛЬЦЯ 36 Д, ОФ. 45 А",01133,КИЕВ,Ukraine,50.4254055,30.5334785,Ukraine
MESSER AUSTRIA GMBH,GUMPOLDSKIRCHEN,AT,2011,U1,179,MESSER INDUSTRIE GMBH,INDUSTRIESTRAßE 5,2352,Niederösterreich,Österreich,48.03282,16.2893378,Austria
RETTENMAIER FRANCE SARL,ST GERMAIN EN LAYE,FR,4669,U1,n.v.,JOSEF RETTENMAIER  INTERNATIONAL HOLDING  GMBH & CO. KG,20 Q RUE SCHNAPPER,78100,Yvelines,Frankreich,48.888885,2.08952,France
NEOBO FASTIGHETER AB (PUBL),STOCKHOLM,SE,7010,C2,50,NEOBO FASTIGHETER AB (PUBL),MÄSTER SAMUELSGATAN 42,111 57,Stockholm,Schweden,59.3335197,18.0644155,Sweden
AKER CARBON CAPTURE ASA,FORNEBU,NO,7112,C2,0,AKER CARBON CAPTURE ASA,JOHN STRANDRUDS VEI 10,1360,Bærum,Norwegen,59.903693,10.624621,Norway
FERGUSON MARINE (PORT GLASGOW) HOLDINGS LIMITED,PORT GLASGOW,GB,8299,C1,512,THE SCOTTISH MINISTERS.,NEWARK WORKS CASTLE ROAD,PA14 5NG,Port Glasgow,Vereinigtes Königreich,55.93446925,-4.677759110491543,United Kingdom
AKER CARBON CAPTURE NORWAY AS,FORNEBU,NO,7112,U1,85,AKER CARBON CAPTURE ASA,JOHN STRANDRUDS VEI 10,1360,Bærum,Norwegen,59.903693,10.624621,Norway
SUNGROW POWER UK LIMITED,MILTON KEYNES,GB,2711,U1,22,阳光电源股份有限公司,"SUITE 2, 2ND FLOOR MOORGATE HOUSE",MK9 1LZ,Milton Keynes,Vereinigtes Königreich,,,United Kingdom
CHIMEC - SOCIETA' PER AZIONI,ROMA,IT,2059,C2,174,CHIMEC - SOCIETA' PER AZIONI,VIA DELLE ANDE 19,00144,Roma,Italien,41.824827,12.468655,Italy
SIEGFRIED EL MASNOU S.A.,EL MASNOU,ES,2120,U1,379,SIEGFRIED HOLDING AG,"CALLE CAMIL FABRA, 58",08320,Barcelona,Spanien,41.474697,2.2964,Spain
MEDICAIR ITALIA S.R.L.,MILANO,IT,4675,U1,169,MR FILIPPO MOSCATELLI,VIA MONTE ROSA 61,20149,Milano,Italien,45.4750005,9.1489989,Italy
AIR LIQUIDE ITALIA S.P.A.,MILANO,IT,2011,U1,103,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",VIA BISCEGLIE 66,20152,Milano,Italien,,,Italy
AIR LIQUIDE SANTE INTERNATIONAL,PARIS,FR,6420,U1,n.v.,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",75 QUAI D ORSAY,75007,Paris,Frankreich,48.8622331,2.3047133,France
MEDIGAS ITALIA S.R.L.,ASSAGO,IT,4675,U1,124,MR BERNARDO SESTINI,VIA THOMAS ALVA EDISON 6,20057,Milano,Italien,45.405016,9.122885,Italy
CMC MATERIALS UPC SAS,ST FROMOND,FR,2013,U1,91,ENTEGRIS INC,LES VIEILLES HAIES,50620,Manche,Frankreich,,,France
LINDE AMT ITALY S.R.L.,NOVARA,IT,2561,U1,259,LINDE PUBLIC LIMITED COMPANY,VIA FLEMING ALEXANDER 3,28100,Novara,Italien,45.451783,8.590852,Italy
KION FINANCIAL SERVICES SWEDEN AB,ÖREBRO,SE,6491,U1,7,KION GROUP AG,BOX 1305,701 13,Örebro,Schweden,,,Sweden
SUNGROW ITALY S.R.L.,MILANO,IT,4669,U1,9,"SUNGROW POWER (HONG KONG) CO., LIMITED",VLE ANDREA DORIA 7,20124,Milano,Italien,,,Italy
ENAGIC EUROPE GMBH,DÜSSELDORF,DE,4690,U1,39,株式会社エナジック,IMMERMANNSTR. 33,40210,Düsseldorf,Deutschland,51.2234352,6.7879589,Germany
GYŐRI SZESZGYÁR ÉS FINOMÍTÓ ZÁRTKÖRŰEN MŰKÖDŐ RÉSZVÉNYTÁRSASÁG,GYŐR,HU,2014,U1,91,LENZ FERMENTATION Tanácsadó és Kereskedelmi Kft.,BUDAI ÚT 7/A,9027,Győr-Sopron-Moson megye,Ungarn,47.6908569,17.648813759040358,Hungary
KEES IN 'T VEEN BEHEER B.V.,EUROPOORT ROTTERDAM,NL,6420,C1,249,KEES IN 'T VEEN BEHEER B.V.,MOEZELWEG 151,3198 LS,Rotterdam,Niederlande,51.9192709,4.1858595,Netherlands
ALCOPLAST SRL,VERCELLI,IT,2059,U1,62,POLIOLI S.P.A.,VIA ETTORE ARA 48,13100,Vercelli,Italien,45.299631,8.411297,Italy
ЭВОНИК ХИМИЯ,МОСКВА,RU,4675,U1,54,RAG-STIFTUNG,"УЛ. КОЖЕВНИЧЕСКАЯ Д. 14, СТР. 5",115114,г.Москва,Russische Föderation,55.7286821,37.64580926911573,Russia
UNICHIMICA S.P.A.,TORRI DI QUARTESOLO,IT,4675,U1,64,MR ALBERTO FILIPPI,VIA ROMA 292,36040,Vicenza,Italien,45.518644,11.618561,Italy
CB&I UK LIMITED,LONDON,GB,4299,U1,233,MCDERMOTT INTERNATIONAL INCORPORATED,"BUILDING 3, 566 CHISWICK HIGH ROAD, CHISWICK",W4 5YA,London W4,Vereinigtes Königreich,51.495141,-0.2735772931034477,United Kingdom
HAV GROUP ASA,FOSNAVÅG,NO,2712,C2,16,HAV GROUP ASA,HOLMEFJORDVEGEN 1,6090,Herøy (Møre Og Romsdal),Norwegen,62.3425082,5.6312658,Norway
ЛИНДЕ ИНЖИНИРИНГ РУС,САМАРА,RU,7112,U1,192,LINDE GMBH,УЛ. ГАЛАКТИОНОВСКАЯ Д. 102,443001,Самарская область,Russische Föderation,53.198201,50.106119,Russia
OXIMESA S.L.U.,MADRID,ES,8690,U1,354,三菱ケミカルグループ株式会社,"CALLE ORENSE, 11 PLT 5",28020,Madrid,Spanien,40.448439,-3.695854,Spain
АКЦИОНЕРНОЕ ОБЩЕСТВО ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ПЕРМЬ,ПЕРМЬ,RU,3522,U1,2902,Правительство Российской Федерации,УЛ. ПЕТРОПАВЛОВСКАЯ Д. 43,614000,Пермский край,Russische Föderation,58.013249650000006,56.23830938571646,Russia
ΛΙΝΤΕ ΕΛΛΑΣ ΜΟΝΟΠΡΟΣΩΠΗ Ε.Π.Ε.,ΜΆΝΔΡΑ,GR,2011,U1,142,,ΘΈΣΗ ΤΡΎΠΙΟ ΛΙΘΆΡΙ,19600,Αττική,Griechenland,,,Greece
"LINDE PORTUGAL, LDA",LISBOA,PT,2011,U1,93,LINDE PUBLIC LIMITED COMPANY,"AVENIDA INFANTE DOM HENRIQUE, LOTE 21/24",1800-217,Lisboa,Portugal,38.774472,-9.121398,Portugal
GAZECHIM COMPOSITES IBERICA SA,PICASSENT,ES,4675,U1,32,MR JEAN GUITTARD,"POLIGONO INDUSTRIAL (CL ONCE), 2",46220,Valencia,Spanien,39.358936,-0.454698,Spain
BP EGYPT PRODUCTION B.V.,EUROPOORT ROTTERDAM,NL,0910,U1,n.v.,BP P.L.C.,D'ARCYWEG 76,3198 NA,Rotterdam,Niederlande,51.9395733,4.1036219,Netherlands
MOLGAS GREEN MOBILITY,GRENOBLE,FR,3523,U1,77,GREENRIVER HOLDCO SL.,"32 34 36 QUARTIER BOUCHAYER VIALLET, 32 RUE GUSTAVE EIFFEL",38000,Isère,Frankreich,45.1840332,5.7031542,France
"LEUENDORFF GEBÄUDETECHNIK, ENERGIE- UND MINERALÖLHANDEL GMBH",BERLIN,DE,4671,U1,40,MR BERT LEUENDORFF,ALT-KAROW 28 A,13125,Berlin,Deutschland,52.6150616,13.4858747,Germany
MILEXIA FRANCE,ST AUBIN,FR,4652,U1,n.v.,MILEXIA DEVELOPPEMENT 2,"IMMEUBLE LE MERCURY ESPACE TECHN, ROUTE DE L'ORME DES MERISIERS",91190,Essonne,Frankreich,48.712829,2.1445,France
SOLARIS ITALIA S.R.L.,ROMA,IT,4531,U1,19,"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, SA",VIA DI SETTEBAGNI 390,00139,Roma,Italien,41.970103,12.544192,Italy
"A.R.BROWN,MCFARLANE & COMPANY, LIMITED",MOTHERWELL,GB,3299,C1,93,"A.R.BROWN,MCFARLANE & COMPANY, LIMITED","2ND FLOOR, MAXIM 3, MAXIM OFFICE PARK, EUROCENTRAL",ML1 4WQ,Motherwell,Vereinigtes Königreich,,,United Kingdom
VISION DIRECT EUROPE LTD,LONDON,GB,4778,U1,3,ESSILORLUXOTTICA,1 WRIGHTS LANE,W8 5RY,London W8,Vereinigtes Königreich,,,United Kingdom
QUANT FINLAND OY,VANTAA,FI,2812,U1,454,PERMIRA CREDIT SOLUTIONS II MASTER L.P. 1,ÄYRITIE 8 B,01510,Uusimaa,Finnland,60.29298125,24.96895220696341,Finland
CHEMGAS S.R.L.,BRINDISI,IT,2011,U1,33,PROGEFIN S.P.A.,VLE ENRICO FERMI 4,72100,Brindisi,Italien,40.645871,17.937262,Italy
AIR LIQUIDE CO2 EUROPE,PARIS,FR,2011,U1,35,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",6 RUE COGNACQ JAY,75007,Paris,Frankreich,48.8618312,2.3045629,France
ALCOHOLES MONTPLET SAU,BARCELONA,ES,4675,U1,16,MRS VANESSA MONFORT SOCIAS,"CALLE VIA TRAJANA (53-59), 53 - 55",08020,Barcelona,Spanien,,,Spain
ΟΞΕΑ ΕΜΠΟΡΙΑ ΧΗΜΙΚΩΝ ΠΡΟΙΟΝΤΩΝ Ε.Π.Ε.,ΜΑΓΟΎΛΑ,GR,4675,U1,33,PROKOPIOS KOURAKIS,"ΛΕΩΦ. ΓΕΝΝΗΜΑΤΆ, ΘΈΣΗ ΧΆΒΩΣΙ",19018,Αττική,Griechenland,,,Greece
ELEMENTAR ANALYSENSYSTEME GMBH,LANGENSELBOLD,DE,2651,C2,239,MR ALBRECHT MICHAEL SIEPER,ELEMENTARSTR. 1,63505,Main-Kinzig,Deutschland,50.18128075,9.04710145,Germany
SOLVAY CHEMICALS FINLAND OY,VOIKKAA,FI,2013,U1,49,SOLVAY,PL 1,45911,Kymenlaakso,Finnland,60.91474045,26.623828707952445,Finland
FRANZ KRALER S.R.L.,DOBBIACO,IT,4771,U1,46,MRS DANIELA OLIVIERI,VIA DOLOMITI 46,39034,Bolzano,Italien,46.723312,12.2231098,Italy
DIVERXIA INFRAESTRUCTURAS SL.,PATERNA,ES,4321,U1,15,MR BONAFONT JORGE JAVIER ALONSO,"CALLE BOTIGUERS (ED ONOFRE), 3 OFICINA 2 C",46980,Valencia,Spanien,39.512467,-0.449533,Spain
GREENERITY GMBH,ALZENAU,DE,7219,U1,149,東レ株式会社,INDUSTRIEGEBIET SÜD E,63755,"Aschaffenburg, Landkreis",Deutschland,50.053126,9.043426,Germany
IGAT - INDUSTRIA GAS TECNICI SPA,NAPOLI,IT,2011,U1,15,MR BERNARDO SESTINI,CSO VITTORIO EMANUELE 84,80121,Napoli,Italien,40.836319,14.221501,Italy
МАСТЕР КЕМИКАЛЗ,КАЗАНЬ,RU,2010,U1,117,CHAMPIONX CORP,УЛ. ЗИНИНА Д. 8,420097,Республика Татарстан (Татарстан),Russische Föderation,55.790553,49.155214,Russia
ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ХИТ Р,АЛЬМЕТЬЕВСК,RU,0610,U1,2,MR RAFAEL RAFISOVICH MINGAZOV,УЛ. РАДИЩЕВА Д. 55,423450,Республика Татарстан (Татарстан),Russische Föderation,54.90160355,52.301930982710616,Russia
TECNO PROJECT INDUSTRIALE S.R.L.,CURNO,IT,3320,U1,60,MR BERNARDO SESTINI,VIA ENRICO FERMI 40,24035,Bergamo,Italien,45.686049,9.621051,Italy
RETTENMAIER POLSKA SP. Z O.O.,WARSZAWA,PL,4690,U1,42,JOSEF RETTENMAIER  INTERNATIONAL HOLDING  GMBH & CO. KG,BITWY WARSZAWSKIEJ 1920 R. 7B,02-366,Warszawa,Polen,52.212718,20.970839,Poland
АКЦИОНЕРНОЕ ОБЩЕСТВО ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ БЕЛГОРОД,БЕЛГОРОД,RU,3522,U1,3220,Правительство Российской Федерации,ПЕР. ЗАВОДСКОЙ 5-Й Д. 38,308023,Белгородская область,Russische Föderation,52.37354705,104.20924295,Russia
AIR PRODUCTS AS,KRISTIANSAND S,NO,2811,U1,64,AIR PRODUCTS & CHEMICALS INC,VIGE HAVNEVEI 78,4633,Kristiansand,Norwegen,58.1603231,8.0430619,Norway
LINDE PUERTO RICO B.V.,SCHIEDAM,NL,2011,U1,3,LINDE PUBLIC LIMITED COMPANY,HAVENSTRAAT 23 A,3115 HC,Schiedam,Niederlande,51.900087,4.3991355,Netherlands
GRAPHITE INTERNATIONAL B.V.,BREDA,NL,6420,C2,183,EMERALD HIGHRISE PRIVATE LIMITED,VERLENGDE POOLSEWEG 14,4818 CL,Breda,Niederlande,51.580055,4.8032632,Netherlands
HIVE ETHICAL HOLDINGS LIMITED,ROMSEY,GB,3511,C1,96,MR THOMAS KNEEN,"WOODINGTON HOUSE, WOODINGTON ROAD, EAST WELLOW",SO51 6DQ,Romsey,Vereinigtes Königreich,50.97690675,-1.5683175912003116,United Kingdom
WALL COLMONOY LIMITED,SWANSEA,GB,2445,U1,196,WALL COLMONOY INTERNATIONAL LLC,"ALLOY INDUSTRIAL ESTATE, PONTARDAWE",SA8 4HL,Swansea,Vereinigtes Königreich,,,United Kingdom
SOL HELLAS Α.Ε.,ΜΑΡΟΎΣΙ,GR,2011,U1,92,STICHTING AIRVISION,ΒΟΡ. ΗΠΕΊΡΟΥ 74-76 & ΚΟΝΊΤΣΗΣ,15125,Αττική,Griechenland,33.9704638,-118.291843,Greece
RINGERIKSKRAFT PRODUKSJON AS,HØNEFOSS,NO,3511,U1,13,RINGERIKE KOMMUNE,HVERVENMOVEIEN 33,3511,Ringerike,Norwegen,60.142748,10.257479,Norway
REDEXIS GLP SL.,MADRID,ES,3522,U1,1,REDEXIS SA.,"CALLE MAHONIA (ED PORTICO), 2",28043,Madrid,Spanien,,,Spain
"ACAÍL - GÁS, S.A.",PORTO,PT,2011,U1,126,"GRUPO ACAIL, SGPS, S.A.","RUA DOMINGUEZ ALVAREZ, 44 ESCRITÓRIO 2.1 - EDIFÍCIO PORTO MAGNUM",4150-801,Porto,Portugal,41.1601068,-8.64783643308116,Portugal
SOLVAY INTEROX LIMITED,WARRINGTON,GB,2013,U1,67,SOLVAY,"SOLVAY HOUSE, BARONET WORKS, BARONET ROAD",WA4 6HA,Warrington,Vereinigtes Königreich,53.374904,-2.5975441,United Kingdom
CONVERTERTEC DEUTSCHLAND GMBH,KEMPEN,DE,2600,U1,90,AURELIUS EQUITY OPPORTUNITIES SE & CO. KGAA,KREFELDER WEG 47,47906,Viersen,Deutschland,51.3608112,6.4335441,Germany
ПЕРМНЕФТЕОТДАЧА,"ДОБРЯНКА, ПГТ.ПОЛАЗНА",RU,0910,U1,n.v.,МЕЖДУНАРОДНАЯ КОМПАНИЯ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛУЧ КАПИТАЛ,УЛ. ТРУХИНА Д.70,618703,Пермский край,Russische Föderation,58.455911150000006,56.44981288195778,Russia
HAAS GMBH,HACHENBURG,DE,4671,U1,25,MR ADOLF ROBERT,LINDENSTR. 68,57627,Westerwaldkreis,Deutschland,50.6555223,7.8019457773682195,Germany
"HYCHEM, QUÍMICA SUSTENTÁVEL, S.A.",PÓVOA DE SANTA IRIA,PT,2013,U1,46,"A4F - ALGAE FOR FUTURE, SGPS, S.A.",RUA ENGENHEIRO CLÉMENT DUMOULIN,2625-106,Vila Franca de Xira,Portugal,38.8898994,-9.044891,Portugal
NORTH DOWN GRAIN LIMITED,NEWTOWNARDS,GB,0111,U1,48,MR CHARLES DAVIDSON,"16 TULLYKEVIN ROAD, GREYABBEY",BT22 2NB,Newtownards,Vereinigtes Königreich,54.5986767,-5.703870155534588,United Kingdom
"GASIN II - GASES INDUSTRIAIS, UNIPESSOAL, LDA",PERAFITA,PT,2011,U1,68,AIR PRODUCTS & CHEMICALS INC,"RUA DO PROGRESSO, 53",4455-533,Matosinhos,Portugal,41.25848235,-8.667983251744676,Portugal
ETS RENE VALL,L'ISLE SUR LA SORGUE,FR,4711,U1,84,FAMILLE VALL,82 CHEMIN DES ESPELUGUES,84800,Vaucluse,Frankreich,43.924618,5.062602,France
MESSER CROATIA PLIN D.O.O.,ZAPREŠIĆ,HR,2011,U1,208,,INDUSTRIJSKA ULICA 1,10290,Zagrebačka,Kroatien,45.86326005,15.786721381108752,Croatia
VALTRIS ENTERPRISES FRANCE SAS,VERDUN,FR,2014,U1,n.v.,VALTRIS FRANCE,"BALEYCOURT, ZONE INDUSTRIELLE",55100,Meuse,Frankreich,49.142731,5.330908,France
NEXTCHEM TECH S.P.A. IN FORMA ABBREVIATA NX S.P.A.,ROMA,IT,7112,U1,73,MR AMATO FABRIZIO DI,VIA DI VANNINA 88,00156,Roma,Italien,41.930963,12.592881,Italy
MARTEN S.R.L.,MAIERATO,IT,2059,U1,22,MR SILVANO FIORILLO,ZIN LOCALITA CASALINUOVO,89843,Vibo Valentia,Italien,38.717519,16.286733,Italy
NOVICHEM SP. Z O.O.,CHORZÓW,PL,2014,U1,160,MARIAN SKOP,GŁÓWNA 4,41-508,Chorzów,Polen,,,Poland
NEL HYDROGEN ELECTROLYSER AS,NOTODDEN,NO,2790,U1,134,DEUTSCHE BOERSE AG,HEDDALSVEGEN 11,3674,Notodden,Norwegen,59.55672,9.257422,Norway
A GIACOMINI SA,PONTAULT COMBAULT,FR,4674,U1,n.v.,,"PARC DE PONTILLAULT, RUE DE ROME",77340,Seine-et-Marne,Frankreich,48.79755,2.627126,France
AVERSANA GAS S.R.L.,TEVEROLA,IT,1920,U1,10,MR GIOVANNI COSENTINO,VIA ROMA 308,81030,Caserta,Italien,40.99416,14.2077,Italy
ЮГТРАНЗИТ,РОСТОВ-НА-ДОНУ,RU,4671,U1,3,MR EGOROV VLADIMIR VIKTOROVICH,УЛ. ЕВДОКИМОВА Д.39,344068,Ростовская область,Russische Föderation,47.27375755,39.71674095,Russia
L.F.I. (U.K.) LIMITED,SUTTON,GB,4639,U1,46,SOCIETE CIVILE NOUVELLE MARCEL LESAFFRE,TRINITY COURT 34 WEST STREET,SM1 1SH,Sutton,Vereinigtes Königreich,51.5823812,0.7061519635157048,United Kingdom
HYDROGEN REFUELING SOLUTIONS,CHAMPAGNIER,FR,3320,C2,80,M RACHEDI HASSEN,283 RUE DES LAVIERES,38800,Isère,Frankreich,45.097768,5.720914,France
АКЦИОНЕРНОЕ ОБЩЕСТВО ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ВОЛОГДА,ВОЛОГДА,RU,3522,U1,1163,Правительство Российской Федерации,УЛ. САММЕРА Д.4А,160014,Вологодская область,Russische Föderation,59.22538345,39.91400254272641,Russia
STADTWERKE ZEVEN GMBH,ZEVEN,DE,3513,U1,62,SAMTGEMEINDE ZEVEN,VITUS-PLATZ 1,27404,Rotenburg,Deutschland,53.290921,9.279889,Germany
FRÖDINGEGRUPPEN AB,VIMMERBY,SE,,C2,66,Frödingegruppen AB,FRÖDINGE,598 95,Kalmar,Schweden,21.459282,-158.007077,Sweden
HEXAGON PURUS GMBH,KASSEL,DE,2221,U1,179,HEXAGON PURUS ASA,HANNOVERSCHE STR. 1,34134,Kassel,Deutschland,51.2653028,9.471797218219123,Germany
ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЗАВОД ГОРНОГО ВОСКА,SVISLOCH',BY,2041,NRF,281,REPUBLIC OF NORTH MACEDONIA,UL. PARTIZANSKAYA 2,222823,Пуховичский,Weißrussland,45.7645552,16.1923071,Belarus
ABO ENERGY ESPAÑA SA.,VALENCIA,ES,7490,U1,38,ABO WIND AKTIENGESELLSCHAFT,"CALLE GRAN VIA DEL MARQUES DEL TURIA, 25 4",46005,Valencia,Spanien,39.4882562,-0.3639342,Spain
RENAULT VEHICLE INNOVATION,BOULOGNE BILLANCOURT,FR,2910,U1,57,RENAULT VEHICLE INNOVATION,122 AVENUE DU GENERAL LECLERC,92100,Hauts-de-Seine,Frankreich,48.8302676,2.2319745,France
NUOVA S.M.I. S.R.L.,SANNAZZARO DE' BURGONDI,IT,2829,U1,153,,VIA PAVIA 39,27039,Pavia,Italien,45.108063,8.917673,Italy
АКЦИОНЕРНОЕ ОБЩЕСТВО ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ САРАНСК,САРАНСК,RU,4950,U1,1676,Правительство Российской Федерации,УЛ. МОСКОВСКАЯ Д.115,430010,Мордовская Республика,Russische Föderation,54.162659,45.187909,Russia
AS LABRUNA S.R.L.,MONOPOLI,IT,2811,U1,23,MR MASSIMO LABRUNA,CNT SANTO STEFANO 72,70043,Bari,Italien,40.946835,17.304192,Italy
ECOBAT BATTERY FRANCE SAS,VARENNES VAUZELLES,FR,4669,U1,n.v.,ECOBAT HOLDINGS INC,8 RUE DENIS PAPIN,58640,Nièvre,Frankreich,47.0457687,3.1259816,France
SILGAS SRL,MILANO,IT,3523,U1,13,MRS SILVIA GROSSO,VIA CINO DEL DUCA 5,20122,Milano,Italien,45.4662312,9.1991103,Italy
MIPRO GROUP LTD OY,MIKKELI,FI,7022,C2,158,MIPRO GROUP LTD OY,KUNNANMÄKI 9,50600,Southern Savo,Finnland,61.674795,27.19303,Finland
ОДЕСАГАЗ АТ,ОДЕСА,UA,3522,U1,1996,MOSTON FOUNDATION,ВУЛ. ОДАРІЯ 1,65003,ОДЕССКАЯ ОБЛАСТЬ,Ukraine,49.4060238,23.3931876,Ukraine
ISLAND GAS LIMITED,LINCOLN,GB,0620,U1,n.v.,STAR ENERGY GROUP PLC,"WELTON GATHERING CENTRE, BARFIELD LANE OFF WRAGBY ROAD",LN2 2QX,Lincoln,Vereinigtes Königreich,,,United Kingdom
ADEKA EUROPE GMBH,DÜSSELDORF,DE,2110,U1,7,株式会社ADEKA,BERLINER ALLEE 22,40212,Düsseldorf,Deutschland,51.2228252,6.7829655,Germany
STERIS DEUTSCHLAND GMBH,KÖLN,DE,3250,U1,91,STERIS PLC,EUPENER STR. 70,50933,Köln,Deutschland,50.9406805,6.8907686,Germany
"SONORGÁS - SOCIEDADE DE GÁS DO NORTE, S.A.",ESCARIZ,PT,3522,U1,20,ICON INFRASTRUCTURE MANAGEMENT VI LIMITED IN ITS CAPACITY AS MANAGING GENERAL PARTNER OF ICON INFRAS,"RUA COTO COVELO, S/N",5000-024,Vila Real,Portugal,41.345441,-7.738076,Portugal
ENERGREEN MOBILITY SL.,LEGANES,ES,4690,U1,1,EMPRESA RUIZ SA,"CALLE JULIO PALACIOS, 12",28914,Madrid,Spanien,40.322441,-3.746077,Spain
AQS AS,FLATANGER,NO,0321,U1,86,MR OVE LOEFSNAES,SLIPERIVEIEN 19,7770,Flatanger,Norwegen,64.500795,10.913609,Norway
SYMBIO FRANCE,ST FONS,FR,7490,U1,n.v.,SYMBIO,10 RUE SPÉCIA,69190,Rhône,Frankreich,45.7042176,4.8512714,France
CERES POWER HOLDINGS PLC,HORSHAM,GB,7219,C1,536,CERES POWER HOLDINGS PLC,"VIKING HOUSE, FOUNDRY LANE",RH13 5PX,Horsham,Vereinigtes Königreich,51.0716602,-0.3146613,United Kingdom
PIPELIFE HAFAB AKTIEBOLAG,HAPARANDA,SE,2221,U1,52,WIENERBERGER AG,BOX 806,953 28,Norrbotten,Schweden,,,Sweden
SELGAS SRL,BOLZANO,IT,3523,NRF,11,MR RICHARD MOSER,VIA BRUNO BUOZZI 12,39100,Bolzano,Italien,46.4739846,11.3248603,Italy
GAZECHIM,Credit needed,Credit needed,Credit needed,Credit needed,n.v.,Credit needed,Credit needed,Credit needed,Credit needed,Credit needed,44.6456305,-93.3856521,
MESURE PROCESS,NOISY LE GRAND,FR,3313,U1,n.v.,,"ZONE INDUSTRIELLE LES RICHARDETS, 33 RUE DU BALLON",93160,Seine-Saint-Denis,Frankreich,48.833595,2.570921,France
SALTHOLME SOUTH POWER LIMITED,LONDON,GB,3511,U1,n.v.,SUN LIFE FINANCIAL INC.,4TH FLOOR 80 VICTORIA STREET,SW1E 5JL,London SW1E,Vereinigtes Königreich,51.4971667,-0.1396282,United Kingdom
CEGE,CARNOUX EN PROVENCE,FR,4711,U1,n.v.,MR SEBASTIAN IVAN VAN TURENHOUDT,LE STADE,13470,Bouches-du-Rhône,Frankreich,,,France
RES RENEWABLE NORDEN AB,GÖTEBORG,SE,4222,U1,36,THE MCALPINE PARTNERSHIP TRUST,LILLA BOMMEN 1,411 04,Västra Götaland,Schweden,57.7134143,11.9674645,Sweden
CRITICAL MARITIME SYSTEMS & SUPPORT LIMITED,CAMBRIDGE,GB,2899,U1,110,SCIENCE GROUP PLC,"HARSTON MILL, ROYSTON ROAD, HARSTON",CB22 7GG,Cambridge,Vereinigtes Königreich,52.13645605000001,0.079219133159723,United Kingdom
ALPHASENSE LIMITED,LEICESTER,GB,2651,C2,121,AMETEK INC,2 NEW STAR ROAD,LE4 9JD,Leicester,Vereinigtes Königreich,,,United Kingdom
LESS COMMON METALS LIMITED,ELLESMERE PORT,GB,2445,U1,49,GREAT WESTERN MINERALS GROUP LTD,"UNIT 2, VAUXHALL SUPPLY PARK, NORTH ROAD",CH65 1BL,Ellesmere Port,Vereinigtes Königreich,,,United Kingdom
HALE HAMILTON (VALVES) LIMITED,UXBRIDGE,GB,2814,U1,107,KKR NORTH AMERICA FUND XIII LP,"FRAYS MILL WORKS, COWLEY ROAD",UB8 2AF,Uxbridge,Vereinigtes Königreich,51.53523,-0.4836689,United Kingdom
AIR LIQUIDE ANTILLES GUYANE,LE LAMENTIN,FR,2011,U1,105,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",QUARTIER CALIFORNIE,97232,Martinique,Frankreich,,,France
WOW GREEN HOUSE S.R.L.,AVERSA,IT,7022,U1,18,TYCHE S.R.L.,VIA CICERONE 51,81031,Caserta,Italien,40.972672,14.20124,Italy
