Name des Unternehmens,Ort,Länderkürzel,NACE code,"Kons.
Code","Anzahl der Mitarbeiter
Letztes verf. Jahr",Globale KM - Name,Adresse,Postleitzahl,Region,Land,Latitude,Longitude,Country,Full Address
JOHNSON MATTHEY CHEMICALS GMBH,EMMERICH,DE,2010,U1,195,MATTHEY FINANCE B.V.,WARDSTR. 17,46446,Kleve,Deutschland,51.83446975,6.231279568518584,Germany,"WARDSTR. 17, 46446, Kleve, Deutschland"
ГАЗПРОМ МЕЖРЕГИОНГАЗ ОРЁЛ,ОРЕЛ,RU,4671,U1,186,Правительство Российской Федерации,УЛ ЛЕНИНА Д.30,302028,Орловская область,Russische Föderation,50.7536,41.974695,Russia,"УЛ ЛЕНИНА Д.30, 302028, Орловская область, Russische Föderation"
AIR PRODUCTS HOLDINGS GMBH,HATTINGEN,DE,6420,C2,184,PRODAIR CORPORATION THE CORPORATION TRUST CENTER,HÜTTENSTR.,45527,Ennepe-Ruhr,Deutschland,51.4021423,7.187992345207256,Germany,"HÜTTENSTR., 45527, Ennepe-Ruhr, Deutschland"
QUAKER HOUGHTON B.V.,UITHOORN,NL,2059,U1,181,QUAKER CHEMICAL CORP,INDUSTRIEWEG 7,1422 AH,Uithoorn,Niederlande,52.238248,4.8321727,Netherlands,"INDUSTRIEWEG 7, 1422 AH, Uithoorn, Niederlande"
PETROLVALVES S.P.A.,MILANO,IT,2814,C2,554,TBG AG,VLE LUIGI MAJNO 17/A,20122,Milano,Italien,,,Italy,"VLE LUIGI MAJNO 17/A, 20122, Milano, Italien"
STICHTING NUCLEAR RESEARCH AND CONSULTANCY GROUP,PETTEN,NL,7219,C1,657,STICHTING NUCLEAR RESEARCH AND CONSULTANCY GROUP,WESTERDUINWEG 3 32,1755 LE,Schagen,Niederlande,52.7832649,4.6745571,Netherlands,"WESTERDUINWEG 3 32, 1755 LE, Schagen, Niederlande"
HARSCO METALS GROUP LIMITED,LEATHERHEAD,GB,7010,U1,494,ENVIRI CORP,"HARSCO HOUSE, REGENT PARK, 297-299 KINGSTON ROAD",KT22 7SG,Leatherhead,Vereinigtes Königreich,51.36979515,-0.3057306971928977,United Kingdom,"HARSCO HOUSE, REGENT PARK, 297-299 KINGSTON ROAD, KT22 7SG, Leatherhead, Vereinigtes Königreich"
BIOGEEN GMBH,MÜNSTER,DE,7112,C2,n.v.,Lux Investments Company S.à r.l.,AM MITTELHAFEN 10,48155,Münster,Deutschland,51.9507833,7.6403024,Germany,"AM MITTELHAFEN 10, 48155, Münster, Deutschland"
PIPELIFE SVERIGE AKTIEBOLAG,LJUNG,SE,2221,U1,260,WIENERBERGER AG,INDUSTRIVÄGEN 1,524 41,Västra Götaland,Schweden,57.98990785,13.01704635,Sweden,"INDUSTRIVÄGEN 1, 524 41, Västra Götaland, Schweden"
EVOLVIENT CAPITAL LIMITED,LONDON,GB,7810,C1,n.v.,EVOLVIENT CAPITAL LIMITED,1 POULTRY,EC2R 8EJ,London EC2R,Vereinigtes Königreich,51.513355,-0.0908549,United Kingdom,"1 POULTRY, EC2R 8EJ, London EC2R, Vereinigtes Königreich"
SHELL CATALYSTS & TECHNOLOGIES LEUNA GMBH,LEUNA,DE,2059,U1,141,SHELL PLC,AM HAUPTTOR,06237,Saalekreis,Deutschland,51.3198623,12.0147488,Germany,"AM HAUPTTOR, 06237, Saalekreis, Deutschland"
MORGAN LOVELL PLC,LONDON,GB,4120,U1,160,MORGAN SINDALL GROUP PLC,"KENT HOUSE, 14-17 MARKET PLACE",W1W 8AJ,London W1W,Vereinigtes Königreich,51.5162032,-0.1400153,United Kingdom,"KENT HOUSE, 14-17 MARKET PLACE, W1W 8AJ, London W1W, Vereinigtes Königreich"
HPL MOTORS GROUP LIMITED,OLDHAM,GB,4511,C1,129,丸紅株式会社,396 MANCHESTER ROAD,OL9 7PQ,Oldham,Vereinigtes Königreich,53.5252746,-2.1387153,United Kingdom,"396 MANCHESTER ROAD, OL9 7PQ, Oldham, Vereinigtes Königreich"
MESSER POLSKA SP. Z O.O.,CHORZÓW,PL,4675,C2,n.v.,MESSER INDUSTRIE GMBH,MACIEJKOWICKA 30,41-503,Chorzów,Polen,50.317104,18.981308,Poland,"MACIEJKOWICKA 30, 41-503, Chorzów, Polen"
FABER INDUSTRIE S.P.A.,CIVIDALE DEL FRIULI,IT,2529,C2,425,FAFIN S.R.L.,VIA DELL'INDUSTRIA 64,33043,Udine,Italien,46.0852989,13.3890843,Italy,"VIA DELL'INDUSTRIA 64, 33043, Udine, Italien"
ALTAIR CHEMICAL S.R.L.,VOLTERRA,IT,2059,U1,87,SAN MARTINO S.P.A.,VIA MOIE VECCHIE 13,56048,Pisa,Italien,43.35909,10.81458,Italy,"VIA MOIE VECCHIE 13, 56048, Pisa, Italien"
ФОСАГРО-СТАВРОПОЛЬ,СТАВРОПОЛЬ,RU,4675,U1,66,ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ФОСАГРО,УЛ. ЛЕРМОНТОВА Д.189/1,355000,Ставропольский край,Russische Föderation,45.0353724,41.96539368501202,Russia,"УЛ. ЛЕРМОНТОВА Д.189/1, 355000, Ставропольский край, Russische Föderation"
AIR PRODUCTS IRELAND LIMITED,DUBLIN,IE,2011,U1,43,AIR PRODUCTS & CHEMICALS INC,"UNIT 950, WESTERN INDUSTRIAL EST, KILLEEN ROAD, DUBLIN 12",D12 XP58,Dublin,Irland,53.3204396,-6.2583108,Ireland,"UNIT 950, WESTERN INDUSTRIAL EST, KILLEEN ROAD, DUBLIN 12, D12 XP58, Dublin, Irland"
NIPPON GASES NORGE AS,OSLO,NO,2011,U1,202,三菱ケミカルグループ株式会社,RINGNESVEIEN 50,0978,Oslo,Norwegen,59.95835,10.896954,Norway,"RINGNESVEIEN 50, 0978, Oslo, Norwegen"
SHELL CHEMICALS U.K. LIMITED,LONDON,GB,2014,U1,n.v.,SHELL PLC,"SHELL CENTRE, YORK ROAD",SE1 7NA,London SE1,Vereinigtes Königreich,,,United Kingdom,"SHELL CENTRE, YORK ROAD, SE1 7NA, London SE1, Vereinigtes Königreich"
АКЦИОНЕРНОЕ ОБЩЕСТВО КРИОГЕННОГО МАШИНОСТРОЕНИЯ,БАЛАШИХА,RU,2825,U1,1266,"""Газпромбанк"" (Акционерное общество)",ПР-КТ ЛЕНИНА Д.67,143907,Московская область,Russische Föderation,55.88108,37.709528,Russia,"ПР-КТ ЛЕНИНА Д.67, 143907, Московская область, Russische Föderation"
MEXICHEM UK LIMITED,RUNCORN,GB,2011,U1,242,ORBIA ADVANCE CORPORATION,402 THE HEATH BUSINESS & TECHNICAL,WA7 4QX,Runcorn,Vereinigtes Königreich,53.2463168,-2.4805646984104603,United Kingdom,"402 THE HEATH BUSINESS & TECHNICAL, WA7 4QX, Runcorn, Vereinigtes Königreich"
MESSER TEHNOGAS AD BEOGRAD,BEOGRAD (RAKOVICA),RS,2011,U1,341,MESSER INDUSTRIE GMBH,BANJIČKI PUT 62,11090,Belgrade,Serbien,,,Serbia,"BANJIČKI PUT 62, 11090, Belgrade, Serbien"
GEOSEL MANOSQUE,RUEIL MALMAISON,FR,5210,U1,3,GOVERNMENT OF FRANCE,2 RUE DES MARTINETS,92500,Hauts-de-Seine,Frankreich,48.8867489,2.165228,France,"2 RUE DES MARTINETS, 92500, Hauts-de-Seine, Frankreich"
ВАРАНДЕЙСКИЙ ТЕРМИНАЛ,РП ИСКАТЕЛЕЙ,RU,5210,U1,341,ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО НЕФТЯНАЯ КОМПАНИЯ ЛУКОЙЛ,УЛ. РОССИХИНА Д. 4,166700,Ненецкий автономный округ,Russische Föderation,67.66324815,53.11621865654087,Russia,"УЛ. РОССИХИНА Д. 4, 166700, Ненецкий автономный округ, Russische Föderation"
NEL ASA,OSLO,NO,7211,C2,30,DEUTSCHE BOERSE AG,KARENSLYST ALLÉ 49,0279,Oslo,Norwegen,59.921166,10.681725,Norway,"KARENSLYST ALLÉ 49, 0279, Oslo, Norwegen"
SOLVAY CHEMIE B.V.,HERTEN,NL,2014,U1,59,SOLVAY,SCHEPERSWEG 1,6049 CV,Roermond,Niederlande,51.165009,5.956149,Netherlands,"SCHEPERSWEG 1, 6049 CV, Roermond, Niederlande"
СРЕДНЕВОЛЖСКАЯ ГАЗОВАЯ КОМПАНИЯ,САМАРА,RU,3522,U1,4669,MR VLADIMIR EVGENYEVICH AVETISYAN,"УЛ. ЛЬВА ТОЛСТОГО, 18 «А» СТР. 7",443010,Самарская область,Russische Föderation,54.943941,82.96895,Russia,"УЛ. ЛЬВА ТОЛСТОГО, 18 «А» СТР. 7, 443010, Самарская область, Russische Föderation"
EVONIK CHEMICALS LIMITED,MANCHESTER,GB,2014,U1,54,RAG-STIFTUNG,CLAYTON LANE,M11 4SR,Manchester,Vereinigtes Königreich,53.4824259,-2.1831525,United Kingdom,"CLAYTON LANE, M11 4SR, Manchester, Vereinigtes Königreich"
PEAK SCIENTIFIC INSTRUMENTS LIMITED,RENFREW,GB,2711,U1,319,PEAK INTERNATIONAL GROUP LIMITED,"11 FOUNTAIN CRESCENT, INCHINNAN BUSINESS PARK, INCHINNAN",PA4 9RE,Renfrew,Vereinigtes Königreich,55.88450625,-4.453052102304151,United Kingdom,"11 FOUNTAIN CRESCENT, INCHINNAN BUSINESS PARK, INCHINNAN, PA4 9RE, Renfrew, Vereinigtes Königreich"
ICONICHEM WIDNES LIMITED,WIDNES,GB,2059,U1,66,CENGIZ HOLDING ANONIM SIRKETI,MOSS BANK ROAD,WA8 0RU,Widnes,Vereinigtes Königreich,,,United Kingdom,"MOSS BANK ROAD, WA8 0RU, Widnes, Vereinigtes Königreich"
VYNOVA RUNCORN LIMITED,RUNCORN,GB,2014,U1,131,INTERNATIONAL CHEMICAL INVESTORS S.E.,BANKES LANE OFFICE BANKES LANE,WA7 4EL,Runcorn,Vereinigtes Königreich,53.31938775,-2.7409214911639466,United Kingdom,"BANKES LANE OFFICE BANKES LANE, WA7 4EL, Runcorn, Vereinigtes Königreich"
WESTLAKE COMPOUNDS ITALY S.R.L.,SAMARATE,IT,2016,U1,68,"CHAO ALBERT, JENKINS DOROTHY C & CHAO JAMES",VIA MILANO 201,21017,Varese,Italien,45.626077,8.787156,Italy,"VIA MILANO 201, 21017, Varese, Italien"
MACDERMID PERFORMANCE SOLUTIONS ITALIANA S.R.L.,BIELLA,IT,2059,C2,162,ELEMENT SOLUTIONS INC.,VIA GIOVANNI BATTISTA BOTALLA 3,13900,Biella,Italien,45.5574518,8.0609423,Italy,"VIA GIOVANNI BATTISTA BOTALLA 3, 13900, Biella, Italien"
ГАЗТРОН-УКРАЇНА ТОВ,КИЇВ,UA,4671,U1,33,MR VLADISLAV BORISOVICH KOLODYAZHNIY,"ВУЛ. ЄВГЕНА КОНОВАЛЬЦЯ 36 Д, ОФ. 45 А",01133,КИЕВ,Ukraine,50.4254055,30.5334785,Ukraine,"ВУЛ. ЄВГЕНА КОНОВАЛЬЦЯ 36 Д, ОФ. 45 А, 01133, КИЕВ, Ukraine"
MESSER AUSTRIA GMBH,GUMPOLDSKIRCHEN,AT,2011,U1,179,MESSER INDUSTRIE GMBH,INDUSTRIESTRAßE 5,2352,Niederösterreich,Österreich,48.03282,16.2893378,Austria,"INDUSTRIESTRAßE 5, 2352, Niederösterreich, Österreich"
RETTENMAIER FRANCE SARL,ST GERMAIN EN LAYE,FR,4669,U1,n.v.,JOSEF RETTENMAIER  INTERNATIONAL HOLDING  GMBH & CO. KG,20 Q RUE SCHNAPPER,78100,Yvelines,Frankreich,48.888885,2.08952,France,"20 Q RUE SCHNAPPER, 78100, Yvelines, Frankreich"
NEOBO FASTIGHETER AB (PUBL),STOCKHOLM,SE,7010,C2,50,NEOBO FASTIGHETER AB (PUBL),MÄSTER SAMUELSGATAN 42,111 57,Stockholm,Schweden,59.3335197,18.0644155,Sweden,"MÄSTER SAMUELSGATAN 42, 111 57, Stockholm, Schweden"
AKER CARBON CAPTURE ASA,FORNEBU,NO,7112,C2,0,AKER CARBON CAPTURE ASA,JOHN STRANDRUDS VEI 10,1360,Bærum,Norwegen,59.903693,10.624621,Norway,"JOHN STRANDRUDS VEI 10, 1360, Bærum, Norwegen"
FERGUSON MARINE (PORT GLASGOW) HOLDINGS LIMITED,PORT GLASGOW,GB,8299,C1,512,THE SCOTTISH MINISTERS.,NEWARK WORKS CASTLE ROAD,PA14 5NG,Port Glasgow,Vereinigtes Königreich,55.93446925,-4.677759110491543,United Kingdom,"NEWARK WORKS CASTLE ROAD, PA14 5NG, Port Glasgow, Vereinigtes Königreich"
AKER CARBON CAPTURE NORWAY AS,FORNEBU,NO,7112,U1,85,AKER CARBON CAPTURE ASA,JOHN STRANDRUDS VEI 10,1360,Bærum,Norwegen,59.903693,10.624621,Norway,"JOHN STRANDRUDS VEI 10, 1360, Bærum, Norwegen"
SUNGROW POWER UK LIMITED,MILTON KEYNES,GB,2711,U1,22,阳光电源股份有限公司,"SUITE 2, 2ND FLOOR MOORGATE HOUSE",MK9 1LZ,Milton Keynes,Vereinigtes Königreich,,,United Kingdom,"SUITE 2, 2ND FLOOR MOORGATE HOUSE, MK9 1LZ, Milton Keynes, Vereinigtes Königreich"
CHIMEC - SOCIETA' PER AZIONI,ROMA,IT,2059,C2,174,CHIMEC - SOCIETA' PER AZIONI,VIA DELLE ANDE 19,00144,Roma,Italien,41.824827,12.468655,Italy,"VIA DELLE ANDE 19, 00144, Roma, Italien"
SIEGFRIED EL MASNOU S.A.,EL MASNOU,ES,2120,U1,379,SIEGFRIED HOLDING AG,"CALLE CAMIL FABRA, 58",08320,Barcelona,Spanien,41.474697,2.2964,Spain,"CALLE CAMIL FABRA, 58, 08320, Barcelona, Spanien"
MEDICAIR ITALIA S.R.L.,MILANO,IT,4675,U1,169,MR FILIPPO MOSCATELLI,VIA MONTE ROSA 61,20149,Milano,Italien,45.4750005,9.1489989,Italy,"VIA MONTE ROSA 61, 20149, Milano, Italien"
AIR LIQUIDE ITALIA S.P.A.,MILANO,IT,2011,U1,103,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",VIA BISCEGLIE 66,20152,Milano,Italien,,,Italy,"VIA BISCEGLIE 66, 20152, Milano, Italien"
AIR LIQUIDE SANTE INTERNATIONAL,PARIS,FR,6420,U1,n.v.,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",75 QUAI D ORSAY,75007,Paris,Frankreich,48.8622331,2.3047133,France,"75 QUAI D ORSAY, 75007, Paris, Frankreich"
MEDIGAS ITALIA S.R.L.,ASSAGO,IT,4675,U1,124,MR BERNARDO SESTINI,VIA THOMAS ALVA EDISON 6,20057,Milano,Italien,45.405016,9.122885,Italy,"VIA THOMAS ALVA EDISON 6, 20057, Milano, Italien"
CMC MATERIALS UPC SAS,ST FROMOND,FR,2013,U1,91,ENTEGRIS INC,LES VIEILLES HAIES,50620,Manche,Frankreich,,,France,"LES VIEILLES HAIES, 50620, Manche, Frankreich"
LINDE AMT ITALY S.R.L.,NOVARA,IT,2561,U1,259,LINDE PUBLIC LIMITED COMPANY,VIA FLEMING ALEXANDER 3,28100,Novara,Italien,45.451783,8.590852,Italy,"VIA FLEMING ALEXANDER 3, 28100, Novara, Italien"
KION FINANCIAL SERVICES SWEDEN AB,ÖREBRO,SE,6491,U1,7,KION GROUP AG,BOX 1305,701 13,Örebro,Schweden,,,Sweden,"BOX 1305, 701 13, Örebro, Schweden"
SUNGROW ITALY S.R.L.,MILANO,IT,4669,U1,9,"SUNGROW POWER (HONG KONG) CO., LIMITED",VLE ANDREA DORIA 7,20124,Milano,Italien,,,Italy,"VLE ANDREA DORIA 7, 20124, Milano, Italien"
ENAGIC EUROPE GMBH,DÜSSELDORF,DE,4690,U1,39,株式会社エナジック,IMMERMANNSTR. 33,40210,Düsseldorf,Deutschland,51.2234352,6.7879589,Germany,"IMMERMANNSTR. 33, 40210, Düsseldorf, Deutschland"
GYŐRI SZESZGYÁR ÉS FINOMÍTÓ ZÁRTKÖRŰEN MŰKÖDŐ RÉSZVÉNYTÁRSASÁG,GYŐR,HU,2014,U1,91,LENZ FERMENTATION Tanácsadó és Kereskedelmi Kft.,BUDAI ÚT 7/A,9027,Győr-Sopron-Moson megye,Ungarn,47.6908569,17.648813759040358,Hungary,"BUDAI ÚT 7/A, 9027, Győr-Sopron-Moson megye, Ungarn"
KEES IN 'T VEEN BEHEER B.V.,EUROPOORT ROTTERDAM,NL,6420,C1,249,KEES IN 'T VEEN BEHEER B.V.,MOEZELWEG 151,3198 LS,Rotterdam,Niederlande,51.9192709,4.1858595,Netherlands,"MOEZELWEG 151, 3198 LS, Rotterdam, Niederlande"
ALCOPLAST SRL,VERCELLI,IT,2059,U1,62,POLIOLI S.P.A.,VIA ETTORE ARA 48,13100,Vercelli,Italien,45.299631,8.411297,Italy,"VIA ETTORE ARA 48, 13100, Vercelli, Italien"
ЭВОНИК ХИМИЯ,МОСКВА,RU,4675,U1,54,RAG-STIFTUNG,"УЛ. КОЖЕВНИЧЕСКАЯ Д. 14, СТР. 5",115114,г.Москва,Russische Föderation,55.7286821,37.64580926911573,Russia,"УЛ. КОЖЕВНИЧЕСКАЯ Д. 14, СТР. 5, 115114, г.Москва, Russische Föderation"
UNICHIMICA S.P.A.,TORRI DI QUARTESOLO,IT,4675,U1,64,MR ALBERTO FILIPPI,VIA ROMA 292,36040,Vicenza,Italien,45.518644,11.618561,Italy,"VIA ROMA 292, 36040, Vicenza, Italien"
CB&I UK LIMITED,LONDON,GB,4299,U1,233,MCDERMOTT INTERNATIONAL INCORPORATED,"BUILDING 3, 566 CHISWICK HIGH ROAD, CHISWICK",W4 5YA,London W4,Vereinigtes Königreich,51.495141,-0.2735772931034477,United Kingdom,"BUILDING 3, 566 CHISWICK HIGH ROAD, CHISWICK, W4 5YA, London W4, Vereinigtes Königreich"
HAV GROUP ASA,FOSNAVÅG,NO,2712,C2,16,HAV GROUP ASA,HOLMEFJORDVEGEN 1,6090,Herøy (Møre Og Romsdal),Norwegen,62.3425082,5.6312658,Norway,"HOLMEFJORDVEGEN 1, 6090, Herøy (Møre Og Romsdal), Norwegen"
ЛИНДЕ ИНЖИНИРИНГ РУС,САМАРА,RU,7112,U1,192,LINDE GMBH,УЛ. ГАЛАКТИОНОВСКАЯ Д. 102,443001,Самарская область,Russische Föderation,53.198201,50.106119,Russia,"УЛ. ГАЛАКТИОНОВСКАЯ Д. 102, 443001, Самарская область, Russische Föderation"
OXIMESA S.L.U.,MADRID,ES,8690,U1,354,三菱ケミカルグループ株式会社,"CALLE ORENSE, 11 PLT 5",28020,Madrid,Spanien,40.448439,-3.695854,Spain,"CALLE ORENSE, 11 PLT 5, 28020, Madrid, Spanien"
АКЦИОНЕРНОЕ ОБЩЕСТВО ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ПЕРМЬ,ПЕРМЬ,RU,3522,U1,2902,Правительство Российской Федерации,УЛ. ПЕТРОПАВЛОВСКАЯ Д. 43,614000,Пермский край,Russische Föderation,58.013249650000006,56.23830938571646,Russia,"УЛ. ПЕТРОПАВЛОВСКАЯ Д. 43, 614000, Пермский край, Russische Föderation"
ΛΙΝΤΕ ΕΛΛΑΣ ΜΟΝΟΠΡΟΣΩΠΗ Ε.Π.Ε.,ΜΆΝΔΡΑ,GR,2011,U1,142,,ΘΈΣΗ ΤΡΎΠΙΟ ΛΙΘΆΡΙ,19600,Αττική,Griechenland,,,Greece,"ΘΈΣΗ ΤΡΎΠΙΟ ΛΙΘΆΡΙ, 19600, Αττική, Griechenland"
"LINDE PORTUGAL, LDA",LISBOA,PT,2011,U1,93,LINDE PUBLIC LIMITED COMPANY,"AVENIDA INFANTE DOM HENRIQUE, LOTE 21/24",1800-217,Lisboa,Portugal,38.774472,-9.121398,Portugal,"AVENIDA INFANTE DOM HENRIQUE, LOTE 21/24, 1800-217, Lisboa, Portugal"
GAZECHIM COMPOSITES IBERICA SA,PICASSENT,ES,4675,U1,32,MR JEAN GUITTARD,"POLIGONO INDUSTRIAL (CL ONCE), 2",46220,Valencia,Spanien,39.358936,-0.454698,Spain,"POLIGONO INDUSTRIAL (CL ONCE), 2, 46220, Valencia, Spanien"
BP EGYPT PRODUCTION B.V.,EUROPOORT ROTTERDAM,NL,0910,U1,n.v.,BP P.L.C.,D'ARCYWEG 76,3198 NA,Rotterdam,Niederlande,51.9395733,4.1036219,Netherlands,"D'ARCYWEG 76, 3198 NA, Rotterdam, Niederlande"
MOLGAS GREEN MOBILITY,GRENOBLE,FR,3523,U1,77,GREENRIVER HOLDCO SL.,"32 34 36 QUARTIER BOUCHAYER VIALLET, 32 RUE GUSTAVE EIFFEL",38000,Isère,Frankreich,45.1840332,5.7031542,France,"32 34 36 QUARTIER BOUCHAYER VIALLET, 32 RUE GUSTAVE EIFFEL, 38000, Isère, Frankreich"
"LEUENDORFF GEBÄUDETECHNIK, ENERGIE- UND MINERALÖLHANDEL GMBH",BERLIN,DE,4671,U1,40,MR BERT LEUENDORFF,ALT-KAROW 28 A,13125,Berlin,Deutschland,52.6150616,13.4858747,Germany,"ALT-KAROW 28 A, 13125, Berlin, Deutschland"
MILEXIA FRANCE,ST AUBIN,FR,4652,U1,n.v.,MILEXIA DEVELOPPEMENT 2,"IMMEUBLE LE MERCURY ESPACE TECHN, ROUTE DE L'ORME DES MERISIERS",91190,Essonne,Frankreich,48.712829,2.1445,France,"IMMEUBLE LE MERCURY ESPACE TECHN, ROUTE DE L'ORME DES MERISIERS, 91190, Essonne, Frankreich"
SOLARIS ITALIA S.R.L.,ROMA,IT,4531,U1,19,"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, SA",VIA DI SETTEBAGNI 390,00139,Roma,Italien,41.970103,12.544192,Italy,"VIA DI SETTEBAGNI 390, 00139, Roma, Italien"
"A.R.BROWN,MCFARLANE & COMPANY, LIMITED",MOTHERWELL,GB,3299,C1,93,"A.R.BROWN,MCFARLANE & COMPANY, LIMITED","2ND FLOOR, MAXIM 3, MAXIM OFFICE PARK, EUROCENTRAL",ML1 4WQ,Motherwell,Vereinigtes Königreich,,,United Kingdom,"2ND FLOOR, MAXIM 3, MAXIM OFFICE PARK, EUROCENTRAL, ML1 4WQ, Motherwell, Vereinigtes Königreich"
VISION DIRECT EUROPE LTD,LONDON,GB,4778,U1,3,ESSILORLUXOTTICA,1 WRIGHTS LANE,W8 5RY,London W8,Vereinigtes Königreich,,,United Kingdom,"1 WRIGHTS LANE, W8 5RY, London W8, Vereinigtes Königreich"
QUANT FINLAND OY,VANTAA,FI,2812,U1,454,PERMIRA CREDIT SOLUTIONS II MASTER L.P. 1,ÄYRITIE 8 B,01510,Uusimaa,Finnland,60.29298125,24.96895220696341,Finland,"ÄYRITIE 8 B, 01510, Uusimaa, Finnland"
CHEMGAS S.R.L.,BRINDISI,IT,2011,U1,33,PROGEFIN S.P.A.,VLE ENRICO FERMI 4,72100,Brindisi,Italien,40.645871,17.937262,Italy,"VLE ENRICO FERMI 4, 72100, Brindisi, Italien"
AIR LIQUIDE CO2 EUROPE,PARIS,FR,2011,U1,35,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",6 RUE COGNACQ JAY,75007,Paris,Frankreich,48.8618312,2.3045629,France,"6 RUE COGNACQ JAY, 75007, Paris, Frankreich"
ALCOHOLES MONTPLET SAU,BARCELONA,ES,4675,U1,16,MRS VANESSA MONFORT SOCIAS,"CALLE VIA TRAJANA (53-59), 53 - 55",08020,Barcelona,Spanien,,,Spain,"CALLE VIA TRAJANA (53-59), 53 - 55, 08020, Barcelona, Spanien"
ΟΞΕΑ ΕΜΠΟΡΙΑ ΧΗΜΙΚΩΝ ΠΡΟΙΟΝΤΩΝ Ε.Π.Ε.,ΜΑΓΟΎΛΑ,GR,4675,U1,33,PROKOPIOS KOURAKIS,"ΛΕΩΦ. ΓΕΝΝΗΜΑΤΆ, ΘΈΣΗ ΧΆΒΩΣΙ",19018,Αττική,Griechenland,,,Greece,"ΛΕΩΦ. ΓΕΝΝΗΜΑΤΆ, ΘΈΣΗ ΧΆΒΩΣΙ, 19018, Αττική, Griechenland"
ELEMENTAR ANALYSENSYSTEME GMBH,LANGENSELBOLD,DE,2651,C2,239,MR ALBRECHT MICHAEL SIEPER,ELEMENTARSTR. 1,63505,Main-Kinzig,Deutschland,50.18128075,9.04710145,Germany,"ELEMENTARSTR. 1, 63505, Main-Kinzig, Deutschland"
SOLVAY CHEMICALS FINLAND OY,VOIKKAA,FI,2013,U1,49,SOLVAY,PL 1,45911,Kymenlaakso,Finnland,60.91474045,26.623828707952445,Finland,"PL 1, 45911, Kymenlaakso, Finnland"
FRANZ KRALER S.R.L.,DOBBIACO,IT,4771,U1,46,MRS DANIELA OLIVIERI,VIA DOLOMITI 46,39034,Bolzano,Italien,46.723312,12.2231098,Italy,"VIA DOLOMITI 46, 39034, Bolzano, Italien"
DIVERXIA INFRAESTRUCTURAS SL.,PATERNA,ES,4321,U1,15,MR BONAFONT JORGE JAVIER ALONSO,"CALLE BOTIGUERS (ED ONOFRE), 3 OFICINA 2 C",46980,Valencia,Spanien,39.512467,-0.449533,Spain,"CALLE BOTIGUERS (ED ONOFRE), 3 OFICINA 2 C, 46980, Valencia, Spanien"
GREENERITY GMBH,ALZENAU,DE,7219,U1,149,東レ株式会社,INDUSTRIEGEBIET SÜD E,63755,"Aschaffenburg, Landkreis",Deutschland,50.053126,9.043426,Germany,"INDUSTRIEGEBIET SÜD E, 63755, Aschaffenburg, Landkreis, Deutschland"
IGAT - INDUSTRIA GAS TECNICI SPA,NAPOLI,IT,2011,U1,15,MR BERNARDO SESTINI,CSO VITTORIO EMANUELE 84,80121,Napoli,Italien,40.836319,14.221501,Italy,"CSO VITTORIO EMANUELE 84, 80121, Napoli, Italien"
МАСТЕР КЕМИКАЛЗ,КАЗАНЬ,RU,2010,U1,117,CHAMPIONX CORP,УЛ. ЗИНИНА Д. 8,420097,Республика Татарстан (Татарстан),Russische Föderation,55.790553,49.155214,Russia,"УЛ. ЗИНИНА Д. 8, 420097, Республика Татарстан (Татарстан), Russische Föderation"
ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ХИТ Р,АЛЬМЕТЬЕВСК,RU,0610,U1,2,MR RAFAEL RAFISOVICH MINGAZOV,УЛ. РАДИЩЕВА Д. 55,423450,Республика Татарстан (Татарстан),Russische Föderation,54.90160355,52.301930982710616,Russia,"УЛ. РАДИЩЕВА Д. 55, 423450, Республика Татарстан (Татарстан), Russische Föderation"
TECNO PROJECT INDUSTRIALE S.R.L.,CURNO,IT,3320,U1,60,MR BERNARDO SESTINI,VIA ENRICO FERMI 40,24035,Bergamo,Italien,45.686049,9.621051,Italy,"VIA ENRICO FERMI 40, 24035, Bergamo, Italien"
RETTENMAIER POLSKA SP. Z O.O.,WARSZAWA,PL,4690,U1,42,JOSEF RETTENMAIER  INTERNATIONAL HOLDING  GMBH & CO. KG,BITWY WARSZAWSKIEJ 1920 R. 7B,02-366,Warszawa,Polen,52.212718,20.970839,Poland,"BITWY WARSZAWSKIEJ 1920 R. 7B, 02-366, Warszawa, Polen"
